nn;chapter;article;paragraph;name;summ
;;;;ОБЫКНОВЕННЫЕ РАСХОДЫ;2669941806
;;;;Министерство Императорскаго Двора;16359595
1;;;;Расходы Министерства Императорскаго Двора;12781296
2;;;;Содержанiе состоящихъ въ веденiи Министерства Императорскаго Двора: Императорскихъ Театров съ ихъ училищами, Императорской академiи художествъ,Императорской Археологической Комиссiи и музея Императора Александра III;3578299
;;;;Высшiя государственныя учрежденiя;8147511
;;;;Государственный Советъ;2009138
3;1;;;Содержанiе Государственнаго Совета;2009138
;;1;;Содержанiе членовъ Совета;1363588
;;2;;Суточное и путевое довольствiе членовъ Совета по выборамъ;645550
;;;;Государственная Дума;2783285
4;1;;;Содержанiе Членовъ Государственной Думы;1942858
;;1;;Денежное довольствiе Членовъ Государственной Думы;1873200
;;2;;Путевое довольствiе Членовъ Государственной Думы;64773
;;3;;Вознагражденiе Членовъ Государственной Думы на коихъ возложены особыя обязанности;4880
5;2;;;Содержанiе Канцелярiи Государственной Думы и состоящихъ при Думе должностныхъ лицъ;628884
;;1;;Личный составъ;392697
;;2;;Канцелярскiе и хозяйственные расходы;130392
;;3;;Дополнительное содержанiе служащихъ въ Канцелярiи Государственной Думы и состоящихъ при Государственной Думе должностных лицъ;58795
;;4;;Пособiя служащим по разным случаямъ и на воспитанiе детей;10000
;;5;;На приглашенiе лицъ для спецiальныхъ занятiй и для спецiальныхъ работ;25000
;;6;;Приобретенiе книгъ и изданiй для библiотеки Государственной Думы и связанные с симъ расходы;12000
6;3;;;Ремонтъ и содержанiе зданий;204824
;;1;;Ремонтъ;40000
;;2;;Содержанiе зданiй;164824
7;4;;;Пособiя по разным случаямъ;6724
;;2;;Награды и пособiя;6724
;;;;Государственная канцелярiя;1880672
8;1;;;Содержанiе Государственной Канцелярiи;757068
;;1;;Государственный Секретарь и его Товарищъ;28613
;;2;;Государственная канцелярiя;587902
;;;а;Личный составъ;413098
;;;б;Канцелярскiе и хозяйственные расходы;61740
;;;в;Награды и пособiя;101900
;;;г;Пособiя на воспитанiе детей;11164
;;3;;Содержанiе зданiй Марiинского Дворца, Архива Государственнаго Совета и отдельнаго зданiя Государственной Канцелярiи;140553
;;;а;Cодержанiе причта и другие расходы по дворцовой церкви;4433
;;;б;Содержанiе прислуги;62500
;;;в;Содержанiе зданiй;65000
;;;г;Награды и пособiя администрацiи и прислуг;8620
9;2;;;Расходы по Государственной Типографiи;881104
;;1;;Содержанiе управленiя Типографiи;38304
;;;а;Личный составъ;22454
;;;б;Канцелярскiе расходы;5000
;;;в;Награды и пособiя;10000
;;;г;Пособiя на воспитанiе детей;850
;;2;;Операцiонные расходы;779500
;;;а;Содержанiе вольнонаёмныхъ служащихъ;482000
;;;б;Содержанiе и ремонтъ машинъ, покупка технических] принадлежностей и матерiаловъ;275000
;;;в;Хозяйственные расходы;16500
;;;г;Награды и пособия вольнонаёмным служащимъ;6000
;;3;;Содержанiе зданiй;63300
10;3;;;Сооруженiе и ремонтъ зданiй;242500
;;1;;Уплата кассе Министерства Императорскаго Двора за прiобретенный для высшихъ государственныхъ учрежденiй Марiинский дворецъ;180000
;;2;;Ремонт зданiй;57500
;;;а;Государственной Типографии;18000
;;;б;Прочихъ зданiй;39500
;;3;;На поставновку мрамоного бюста Его Импраторского Величества Государя Императора въ залъ Общаго Собранiя Государственнаго Совета;5000
;;;;Канцелярiя Совета Министровъ;202357
11;1;;;Содержанiе канцелярiи Совета Министровъ;202357
;;1;;Управляющiй делами Совета;11450
;;2;;Канцелярiя Совета;190907
;;;а;Личный составъ;127857
;;;б;Канцелярскiе и хозяйственные расходы на содержанiе курьерской части при Канцелярiи;30950
;;;в;Канцелярскiе и хозяйственные расходы по содержанiю помещенiя министерскаго при Государственной Думе павильону;12500
;;;г;Награды и пособiя;14000
;;;д;Награды и пособiя по министерскому при Государственной Думе павильону;1200
;;;е;Пособiя на воспитанiе детей;4400
;;;;Собственная его Императорскаго величества канцелярiя;741703
